# Study,Source,Google Scholar citations (as of 2/12/2017),Study Year,Period of analysis,Period start (may vary across elasticity values from the same paper),Period end (may vary across elasticity values from the same paper),Data frequency,Demand product/sector,Explanatory variable,Crude oil price or petroleum product price? Product=1;Crude=0,Region/country,Length of run (1 means 1 period),Variable,Levels or differences,Exogenous time trend (Yes=1;No=0),Time fixed effects (Yes=1;No=0),Sample size,Estimated coefficient ,Standard error,t-statistic,Lower bound confidence interval,Upper bound confidence interval,p value,Is the standard error obtained directly from the paper or calculated? 0=from paper; 1=calculated,Is the estimated coefficient an elasticity? Yes=1; No=0,Fixed elasticity(w.r.t. price or income level)= 0;Varyingelasticity=1,Symmetry test,Data type,Model type,Estimation technique,Per capita variables=1; total consumption levels=0,Logarithmic Transformation: 1=Yes; 0=No,Static price effect =0; Dynamic price effect=1,Price lags: 1=Yes;0=No,Static income effect=0; Dynamic income effect =1,Income lags: 1=Yes;0=No,Fixed income effect =0; Income-level dependnt effect =1,Other variables in specification,Other variables_names,Other variables_categories,System,Source,Equation number,Notes_1,Notes_2,Notes_3,Data subset
STUDY_NUMBER,REFERENCE,CITATIONS,STUDY_YR,PERIOD,YEAR_START,YEAR_END,FREQUENCY,PRODUCT_SECTOR,VARIABLE,PRICE_POINT,REGION,LENGTH_RUN,VAR_SYMBOL,LEVELS,TREND,T_DUMMIES,N_SIZE,BETA,ST_ERROR,T_STAT,LOW_INTERVAL,UPP_INTERVAL,P_VALUE,CALC_STERROR,ELASTICITY,FIXED_ELAST,SYMMETRY_TEST,DATA_TYPE,MODEL_TYPE,EST_TECHNIQUE,PER_CAPITA,LOGS,P_DYNAMIC,P_LAGS,Y_DYNAMIC,Y_LAGS,Y_INTERACTION,OTH_VARS,OTH_VAR_NAME,OTH_VAR_CAT,SYSTEM,SOURCE_TABLE,EQNUM,NOTES1,NOTES2,NOTES3,DATA_SUBSET
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,OECD,multiperiod,Pmax,levels,0,0,1140,-0.60,0.093,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,OECD,1,Pmax,levels,0,0,1140,-0.055,0.006,-10,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,OECD,multiperiod,Pcut,levels,0,0,1140,-0.2,0.043,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,OECD,1,Pcut,levels,0,0,1140,-0.018,0.003,-5.6,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,OECD,multiperiod,Prec,levels,0,0,1140,-0.3,0.053,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,OECD,1,Prec,levels,0,0,1140,-0.027,0.004,-7.4,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Real GDP,NA,OECD,1,Y,levels,0,0,1140,0.8,0.052,15.5,,,,0,1,0,do not reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Lagged demand,NA,OECD,2,Dt-1,levels,0,0,1140,0.91,0.010,87.4,,,,0,0,,NA,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,1,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,G7/OECD,multiperiod,Pmax,levels,0,0,266,-0.4,0.086,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,G7/OECD,1,Pmax,levels,0,0,266,-0.058,0.006,-9.5,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,G7/OECD,multiperiod,Pcut,levels,0,0,266,-0.05,0.048,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,G7/OECD,1,Pcut,levels,0,0,266,-0.007,0.007,-1,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,G7/OECD,multiperiod,Prec,levels,0,0,266,-0.21,0.052,,,,,1,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
1,DargayGately2010,84,2010,1971-2008,1971,2008,annual,Total_oil,Crude oil price,0,G7/OECD,1,Prec,levels,0,0,266,-0.031,0.005,-6.4,,,,0,1,0,reject symmetry,CS-TS,"log-linear, Koyck lag",WLS,1,1,1,0,0,1,0,1,country fixed effects,fixed_effects_spatial,0,Table 2,2,Weights = log(population),,,
